"Application Name","Package Name","Installed Date"
"Water Sort Puzzle","water.sort.puzzle.game.color.sorting.free","Jun 13, 07:32 PM"
"Spades","com.staplegames.spades","Jun 13, 07:16 PM"
"Tap Color Pro","coloring.color.number.happy.paint.art.drawing.puzzle","Jun 13, 07:15 PM"
"Progressive","com.phonevalley.progressive","May 31, 06:19 AM"
"Pandora","com.pandora.android","May 25, 01:14 AM"
"Samsung News","com.samsung.android.app.spage","Jun 12, 06:26 AM"
"Activity Launcher","de.szalkowski.activitylauncher","Apr 21, 06:29 AM"
"Pluto TV","tv.pluto.android","May 29, 02:45 AM"
"My Mobile Account","com.qlink.myqlink","Apr 18, 02:09 AM"
"Translate","com.google.android.apps.translate","Apr 12, 03:50 AM"
"Ampere","com.gombosdev.ampere","Mar 2, 02:24 PM"
"Adobe Fill &amp; Sign","com.adobe.fas","Feb 29, 09:26 AM"
"YouTube Music","app.revanced.android.apps.youtube.music","Feb 6, 09:03 PM"
"Snapchat","com.snapchat.android","Jun 10, 11:46 AM"
"Instagram","com.instagram.android","Jan 29, 03:49 AM"
"Disney+","com.disney.disneyplus","May 15, 07:45 PM"
"Prime Video","com.amazon.avod.thirdpartyclient","Apr 5, 06:02 AM"
"GPay","com.google.android.apps.nbu.paisa.user","Jun 13, 02:44 AM"
"Gboard","com.google.android.inputmethod.latin","Jun 11, 01:16 AM"
"YouTube Music","com.google.android.apps.youtube.music","Jun 8, 05:27 AM"
"Swagbucks","com.prodege.swagbucksmobile","Jan 22, 02:16 AM"
"Covet Fashion - The Game","com.crowdstar.covetfashion","Feb 27, 05:19 AM"
"Sketchbook","com.adsk.sketchbook","May 27, 06:16 AM"
"Google&nbsp;Wallet","com.google.android.apps.walletnfcrel","Jun 7, 08:45 PM"
"Max","com.wbd.stream","May 22, 04:28 AM"
"Mininote","com.zerone.mood","Apr 30, 02:36 AM"
"Samsung TV Plus","com.samsung.android.tvplus","Jun 13, 02:44 AM"
"Coloring","com.teazel.coloring","Dec 15, 12:24 PM"
"KFC","com.kfc.us.mobile","Dec 15, 12:20 PM"
"Find My Device","com.google.android.apps.adm","Apr 11, 07:49 PM"
"Garden Joy","com.scopely.gardenjoy","Dec 12, 01:18 PM"
"Drawing Desk","com.axis.drawingdesk.v3","Dec 10, 07:37 AM"
"Spades","com.fiogonia.spades","Dec 7, 03:08 PM"
"Hit Master 3D","com.hit.master","Dec 7, 03:07 PM"
"Sudoku","com.staplegames.sudokuClassicGP","Dec 7, 03:07 PM"
"Bubble Link","com.link.bubble","Dec 7, 03:06 PM"
"SB Daily Trivia","com.prodege.swagiq","Nov 26, 07:22 PM"
"Samsung Notes","com.samsung.android.app.notes","May 21, 03:30 PM"
"Deep Art Effects","de.nextsol.deeparteffects.app","Nov 23, 05:29 PM"
"Township","com.playrix.township","Nov 16, 05:22 PM"
"Bullet Journal","com.azeravn.bulletjournal","Nov 9, 05:20 AM"
"Adobe Acrobat","com.adobe.reader","Mar 15, 02:35 AM"
"Webex Meet","com.cisco.webex.meetings","Jun 4, 01:36 AM"
"Glo","com.luckycatarts.glo","Dec 9, 07:36 AM"
"Shopper","com.instacart.shopper","Dec 12, 01:25 PM"
"Wearable","com.samsung.android.app.watchmanager","Oct 31, 06:56 AM"
"Smart Switch","com.sec.android.easyMover","May 8, 12:56 PM"
"Burger King","com.emn8.mobilem8.nativeapp.bk","Jun 5, 09:17 PM"
"Message+","com.verizon.messaging.vzmsgs","May 20, 06:22 PM"
"EUCCU Mobile","com.cmcflex.ftmobile.car","Apr 29, 09:30 PM"
"Classic Adult Coloring Book","com.infokombinat.coloringvectorclassic","Oct 7, 07:14 PM"
"Temu","com.einnovation.temu","Jun 11, 01:14 AM"
"Zedge","net.zedge.android","Jun 11, 12:55 PM"
"Samsung Health","com.sec.android.app.shealth","May 31, 12:14 AM"
"Whatnot","com.whatnot_mobile","Aug 1, 08:56 PM"
"Pinterest","com.pinterest","Jun 13, 02:43 AM"
"Maps","com.google.android.apps.maps","Jun 8, 05:29 AM"
"TikTok","com.zhiliaoapp.musically","Jun 9, 02:01 AM"
"Amazon Shopping","com.amazon.mShop.android.shopping","Jun 5, 01:58 AM"
"Google","com.google.android.googlequicksearchbox","Jun 11, 12:52 PM"
"Facebook","com.facebook.katana","Jun 8, 05:26 AM"
"Dasher","com.doordash.driverapp","Jun 8, 05:32 AM"
"Imagine","com.vyroai.aiart","Jan 14, 01:31 AM"
"Clock","com.sec.android.app.clockpackage","Jun 12, 06:26 AM"
"Cash App","com.squareup.cash","Jun 8, 05:30 AM"
"DasherDirect","com.payfare.doordash","Jun 13, 02:43 AM"
"Messenger","com.facebook.orca","Jun 7, 06:18 PM"
"Google Play Store","com.android.vending","Jun 11, 01:11 AM"
"DoorDash","com.dd.doordash","Jun 5, 01:55 AM"
"Gmail","com.google.android.gm","Jun 11, 01:12 AM"
"Photos","com.google.android.apps.photos","Jun 11, 01:13 AM"
"Samsung Internet","com.sec.android.app.sbrowser","May 13, 08:43 AM"
"OneDrive","com.microsoft.skydrive","Jun 3, 06:36 AM"
"Meet","com.google.android.apps.tachyon","Jun 8, 05:31 AM"
"Cloud","com.vcast.mediamanager","May 20, 06:19 PM"
"Etsy","com.etsy.android","May 31, 12:15 AM"
"Poshmark","com.poshmark.app","Aug 5, 12:23 AM"
"YouTube","com.google.android.youtube","Jun 8, 05:27 AM"
"Netflix","com.netflix.mediaclient","May 29, 02:45 AM"
"Drive","com.google.android.apps.docs","May 22, 04:28 AM"
"Link to Windows","com.microsoft.appmanager","Jun 8, 05:31 AM"
"Taco Bell","com.tacobell.ordering","Oct 1, 02:54 AM"
"Starbucks","com.starbucks.mobilecard","Sep 15, 04:09 PM"
"Galaxy Store","com.sec.android.app.samsungapps","Jun 4, 12:52 PM"
"McDonald's","com.mcdonalds.app","Mar 26, 04:20 PM"
"Chrome","com.android.chrome","Jun 8, 05:25 AM"
"Calculator","com.sec.android.app.popupcalculator","May 21, 03:31 PM"
"Call Filter","com.vzw.ecid","May 21, 03:31 PM"
"Tips","com.samsung.android.app.tips","May 24, 04:12 AM"
"Photo Editor Pro - Polish","photo.editor.photoeditor.photoeditorpro","May 22, 04:29 AM"
"Outlook","com.microsoft.office.outlook","Jun 14, 07:03 AM"
"Live Transcribe &amp; Sound Notifications","com.google.audio.hearing.visualization.accessibility.scribe","Jun 11, 01:15 AM"
"Galaxy Wearable","com.samsung.android.app.watchmanager","Feb 23, 10:43 AM"
"Microsoft 365 (Office)","com.microsoft.office.officehubrow","Mar 28, 06:21 AM"
"SmartThings","com.samsung.android.oneconnect","Apr 10, 03:42 AM"
"Flow Free","com.bigduckgames.flow","Nov 7, 09:40 PM"
"Google TV","com.google.android.videos","May 21, 03:31 PM"
"Device care","com.samsung.android.lool","Mar 31, 01:11 AM"
"AR Emoji Editor","com.samsung.android.aremojieditor","Jun 4, 01:05 PM"
"Accessibility","com.samsung.accessibility","Dec 31, 08:00 AM"
